0,1,2,3
1,train_1,3,6
2,train_1,8,3
3,train_1,18,1
4,train_1,26,2
5,train_1,32,2
6,train_1,39,1
7,train_1,46,2
8,train_1,52,2
9,train_1,58,3
10,train_1,62,6
11,train_1,67,10
12,train_1,69,16
13,train_1,72,23
14,train_1,73,28
15,train_1,73,34
16,train_1,71,41
17,train_1,66,45
18,train_1,59,47
19,train_1,52,48
20,train_1,44,48
1,train_2,5,11
2,train_2,4,16
3,train_2,2,22
4,train_2,2,28
5,train_2,3,33
6,train_2,5,38
7,train_2,10,43
8,train_2,15,45
9,train_2,24,48
10,train_2,32,48
11,train_2,38,48
12,train_2,45,47
13,train_2,49,44
14,train_2,51,38
15,train_2,54,34
16,train_2,60,34
17,train_2,66,34
18,train_2,71,36
19,train_2,77,41
20,train_2,77,47
1,bus_1,17,5
2,bus_1,21,5
3,bus_1,24,5
4,bus_1,28,5
5,bus_1,29,7
6,bus_1,30,9
7,bus_1,34,11
8,bus_1,38,11
9,bus_1,39,14
10,bus_1,42,15
11,bus_1,44,16
12,bus_1,48,17
13,bus_1,48,20
14,bus_1,46,22
15,bus_1,49,25
16,bus_1,52,25
17,bus_1,55,26
18,bus_1,59,26
19,bus_1,62,27
20,bus_1,61,29
1,bus_2,65,47
2,bus_2,61,47
3,bus_2,56,45
4,bus_2,51,44
5,bus_2,50,42
6,bus_2,47,41
7,bus_2,44,42
8,bus_2,42,41
9,bus_2,41,38
10,bus_2,42,36
11,bus_2,43,34
12,bus_2,42,31
13,bus_2,40,30
14,bus_2,37,29
15,bus_2,34,30
16,bus_2,31,31
17,bus_2,29,33
18,bus_2,27,35
19,bus_2,25,36
20,bus_2,22,36
