0,1,2,3
1,train_2,1,1
2,train_2,1,2
3,train_2,1,3
4,train_2,1,4
5,train_2,1,5
6,train_2,1,6
7,train_2,1,7
8,train_2,1,8
9,train_2,1,9
10,train_2,2,9
11,train_2,3,9
12,train_2,4,9
13,train_2,5,9
14,train_2,6,9
15,train_2,7,9
16,train_2,7,10
17,train_2,7,11
18,train_2,7,12
19,train_2,8,12
20,train_2,9,12
1,train_2,14,1
2,train_2,14,2
3,train_2,14,3
4,train_2,14,5
5,train_2,14,6
6,train_2,14,7
7,train_2,14,8
8,train_2,14,9
9,train_2,13,10
10,train_2,12,11
11,train_2,11,12
12,train_2,11,13
13,train_2,10,14
14,train_2,9,15
15,train_2,8,16
16,train_2,7,16
17,train_2,6,16
18,train_2,5,16
19,train_2,4,16
20,train_2,4,17
1,train_2,17,4
2,train_2,17,5
3,train_2,17,6
4,train_2,18,6
5,train_2,18,7
6,train_2,18,8
7,train_2,18,9
8,train_2,18,10
9,train_2,18,11
10,train_2,18,12
11,train_2,18,13
12,train_2,18,14
13,train_2,18,15
14,train_2,18,16
15,train_2,18,17
16,train_2,18,18
17,train_2,17,18
18,train_2,16,18
19,train_2,15,18
20,train_2,14,18
